BIIB,-0.082693852 -1.649213314 0.696177065 1.360903144 -0.103133917 0.104092874 0.316582382 -0.924916208 -1.341866612 -0.147123218 1.771191597
BK,-0.130412608 -0.778041661 -0.1669074 1.064980507 0.898281872 -0.107732236 1.618685246 0.359370798 -1.906805754 -1.33384788 0.482429177
BLL,-0.056604553 -0.70071876 0.046823427 0.59075582 -0.741363227 0.958260596 -0.62911731 -0.441044122 -1.92500031 1.139520168 1.758488178
BMC,1.130570173 -0.663973212 1.363671064 0.752048969 -0.812937796 -1.034769535 0.667335868 0.761126876 -1.320842028 -1.421167016 0.578936636
BMS,-0.648482919 0.159711748 1.595184922 -0.011088893 -1.125049114 0.518556118 -0.533250034 0.785653174 -1.180492163 -1.209172845 1.64842999
BMY,0.077392735 -0.457665056 2.059842587 -0.2409098 -0.764313936 -0.105139293 1.219312668 -1.031969309 -1.524079442 0.983465135 -0.215936244
BRCM,0.55193013 -1.662799954 0.730374932 0.541456223 -1.865966082 1.535430312 0.354968339 0.135268658 -0.276956826 -0.743833244 0.700127482
BSX,-0.478616506 -2.226844311 1.204578042 1.782669783 0.270140439 -0.535868764 -0.068708353 0.192417577 -0.763449013 0.267395556 0.356285691
BTU,1.155370831 0.341551274 0.964551747 -0.18866545 -1.127058864 0.632117271 -0.439102024 -0.128646776 -2.203445911 -0.326375574 1.31970346
BXP,0.571127832 -1.792013168 1.566799402 -0.342781633 -0.729485095 0.176227376 0.894064128 0.155420348 -0.671073735 -1.146690607 1.318405151
C,-0.186891571 -1.360068202 0.182378784 -1.713099957 0.141731173 0.339491725 1.9072963 0.854798496 -0.766996861 -0.360534638 0.961894631
CA,-0.058202524 -0.864312112 1.377409339 0.461830497 -0.149819523 0.541920364 0.930696309 -0.307061076 -1.791641474 -1.419952989 1.279133081
CAG,1.161439657 -1.133221984 1.111302972 0.695913494 -0.712183237 1.690692425 0.323222667 -0.994960308 -0.66908747 -1.308745503 -0.164372742
